"JASSANS-RIOTTIER";"01";"AIN";"01480";"01194";""
"JASSERON";"01";"AIN";"01250";"01195";""
"JAYAT";"01";"AIN";"01340";"01196";""
"JOURNANS";"01";"AIN";"01250";"01197";""
"JOYEUX";"01";"AIN";"01800";"01198";""
"JUJURIEUX";"01";"AIN";"01640";"01199";""
"LABALME";"01";"AIN";"01450";"01200";""
"LAGNIEU";"01";"AIN";"01150";"01202";""
"LAIZ";"01";"AIN";"01290";"01203";""
"LALLEYRIAT";"01";"AIN";"01130";"01204";""
"LANCRANS";"01";"AIN";"01200";"01205";""
"LANTENAY";"01";"AIN";"01430";"01206";""
"LAPEYROUSE";"01";"AIN";"01330";"01207";""
"LAVOURS";"01";"AIN";"01350";"01208";""
"LEAZ";"01";"AIN";"01200";"01209";""
"LELEX";"01";"AIN";"01410";"01210";""
"LENT";"01";"AIN";"01240";"01211";""
"LESCHEROUX";"01";"AIN";"01560";"01212";""
"LEYMENT";"01";"AIN";"01150";"01213";""
"LEYSSARD";"01";"AIN";"01450";"01214";""
"LHOPITAL";"01";"AIN";"01420";"01215";""
"LHUIS";"01";"AIN";"01680";"01216";""
"LOCHIEU";"01";"AIN";"01260";"01218";""
"LOMPNAS";"01";"AIN";"01680";"01219";""
"LOMPNIEU";"01";"AIN";"01260";"01221";""
"LOYETTES";"01";"AIN";"01360";"01224";""
"LURCY";"01";"AIN";"01090";"01225";""
"MAGNIEU";"01";"AIN";"01300";"01227";""
"MAILLAT";"01";"AIN";"01430";"01228";""
"MALAFRETAZ";"01";"AIN";"01340";"01229";""
"MANTENAY-MONTLIN";"01";"AIN";"01560";"01230";""
"MANZIAT";"01";"AIN";"01570";"01231";""
"MARBOZ";"01";"AIN";"01851";"01232";""
"MARCHAMP";"01";"AIN";"01680";"01233";""
"MARIGNIEU";"01";"AIN";"01300";"01234";""
"MARLIEUX";"01";"AIN";"01240";"01235";""
"MARSONNAS";"01";"AIN";"01340";"01236";""
"MARTIGNAT";"01";"AIN";"01100";"01237";""
"MASSIEUX";"01";"AIN";"01600";"01238";""
"MASSIGNIEU-DE-RIVES";"01";"AIN";"01300";"01239";""
"MATAFELON-GRANGES";"01";"AIN";"01580";"01240";""
"MEILLONNAS";"01";"AIN";"01370";"01241";""
"MERIGNAT";"01";"AIN";"01450";"01242";""
"MESSIMY-SUR-SAONE";"01";"AIN";"01480";"01243";""
"MEXIMIEUX";"01";"AIN";"01800";"01244";""
"BOHAS-MEYRIAT-RIGNAT";"01";"AIN";"01250";"01245";""
"MEZERIAT";"01";"AIN";"01660";"01246";""
"MIJOUX";"01";"AIN";"01170";"01247";""
"MIJOUX";"01";"AIN";"01410";"01247";""
"MIONNAY";"01";"AIN";"01390";"01248";""
"MIRIBEL";"01";"AIN";"01700";"01249";""
"MISERIEUX";"01";"AIN";"01600";"01250";""
"MOGNENEINS";"01";"AIN";"01140";"01252";""
"MONTAGNAT";"01";"AIN";"01250";"01254";""
"MONTAGNIEU";"01";"AIN";"01470";"01255";""
"MONTANGES";"01";"AIN";"01200";"01257";""
"MONTCEAUX";"01";"AIN";"01090";"01258";""
"MONTCET";"01";"AIN";"01310";"01259";""
"MONTELLIER";"01";"AIN";"01800";"01260";"LE"
"MONTHIEUX";"01";"AIN";"01390";"01261";""
"MONTLUEL";"01";"AIN";"01120";"01262";""
"MONTMERLE-SUR-SAONE";"01";"AIN";"01090";"01263";""
"MONTRACOL";"01";"AIN";"01310";"01264";""
"MONTREAL-LA-CLUSE";"01";"AIN";"01460";"01265";""
"MONTREVEL-EN-BRESSE";"01";"AIN";"01340";"01266";""
"NURIEUX-VOLOGNAT";"01";"AIN";"01460";"01267";""
"MURS-ET-GELIGNIEUX";"01";"AIN";"01300";"01268";""
"NANTUA";"01";"AIN";"01130";"01269";""
"NANTUA";"01";"AIN";"01460";"01269";""
"NATTAGES";"01";"AIN";"01300";"01271";""
"NEUVILLE-LES-DAMES";"01";"AIN";"01400";"01272";""
"NEUVILLE-SUR-AIN";"01";"AIN";"01160";"01273";""
"NEYROLLES";"01";"AIN";"01130";"01274";"LES"
"NEYRON";"01";"AIN";"01700";"01275";""
"NIEVROZ";"01";"AIN";"01120";"01276";""
"NIVOLLET-MONTGRIFFON";"01";"AIN";"01230";"01277";""
"ONCIEU";"01";"AIN";"01230";"01279";""
"ORDONNAZ";"01";"AIN";"01510";"01280";""
"ORNEX";"01";"AIN";"01210";"01281";""
"OUTRIAZ";"01";"AIN";"01430";"01282";""
"OYONNAX";"01";"AIN";"01100";"01283";""
"OZAN";"01";"AIN";"01190";"01284";""
"PARCIEUX";"01";"AIN";"01600";"01285";""
"PARVES";"01";"AIN";"01300";"01286";""
"PERON";"01";"AIN";"01630";"01288";""
"PERONNAS";"01";"AIN";"01960";"01289";""
"PEROUGES";"01";"AIN";"01800";"01290";""
"PERREX";"01";"AIN";"01540";"01291";""
"PETIT-ABERGEMENT";"01";"AIN";"01260";"01292";"LE"
"PEYRIAT";"01";"AIN";"01430";"01293";""
"PEYRIEU";"01";"AIN";"01300";"01294";""
"PEYZIEUX-SUR-SAONE";"01";"AIN";"01140";"01295";""
"PIRAJOUX";"01";"AIN";"01270";"01296";""
"PIZAY";"01";"AIN";"01120";"01297";""
"PLAGNE";"01";"AIN";"01130";"01298";""
"PLANTAY";"01";"AIN";"01330";"01299";"LE"
"POIZAT";"01";"AIN";"01130";"01300";"LE"
"POLLIAT";"01";"AIN";"01310";"01301";""
"POLLIEU";"01";"AIN";"01350";"01302";""
"PONCIN";"01";"AIN";"01450";"01303";""
"PONT-D'AIN";"01";"AIN";"01160";"01304";""
"PONT-DE-VAUX";"01";"AIN";"01190";"01305";""
"PONT-DE-VEYLE";"01";"AIN";"01290";"01306";""
"PORT";"01";"AIN";"01460";"01307";""
"POUGNY";"01";"AIN";"01550";"01308";""
"POUILLAT";"01";"AIN";"01250";"01309";""
"PREMEYZEL";"01";"AIN";"01300";"01310";""
"PREMILLIEU";"01";"AIN";"01110";"01311";""
"PRESSIAT";"01";"AIN";"01370";"01312";""
"PREVESSIN-MOENS";"01";"AIN";"01280";"01313";""
"PRIAY";"01";"AIN";"01160";"01314";""
"PUGIEU";"01";"AIN";"01510";"01316";""
"RAMASSE";"01";"AIN";"01250";"01317";""
"RANCE";"01";"AIN";"01390";"01318";""
"RELEVANT";"01";"AIN";"01990";"01319";""
"REPLONGES";"01";"AIN";"01750";"01320";""
"REVONNAS";"01";"AIN";"01250";"01321";""
"REYRIEUX";"01";"AIN";"01600";"01322";""
"REYSSOUZE";"01";"AIN";"01190";"01323";""
"RIGNIEUX-LE-FRANC";"01";"AIN";"01800";"01325";""
"ROMANS";"01";"AIN";"01400";"01328";""
"ROSSILLON";"01";"AIN";"01510";"01329";""
"RUFFIEU";"01";"AIN";"01260";"01330";""
"SAINT-ALBAN";"01";"AIN";"01450";"01331";""
"SAINT-ANDRE-DE-BAGE";"01";"AIN";"01380";"01332";""
"SAINT-ANDRE-DE-CORCY";"01";"AIN";"01390";"01333";""
"SAINT-ANDRE-D'HUIRIAT";"01";"AIN";"01290";"01334";""
"SAINT-ANDRE-LE-BOUCHOUX";"01";"AIN";"01240";"01335";""
"SAINT-ANDRE-SUR-VIEUX-JONC";"01";"AIN";"01960";"01336";""
"SAINT-BENIGNE";"01";"AIN";"01190";"01337";""
"SAINT-BENOIT";"01";"AIN";"01300";"01338";""
"SAINT-BERNARD";"01";"AIN";"01600";"01339";""
"SAINT-BOIS";"01";"AIN";"01300";"01340";""
"SAINT-CHAMP";"01";"AIN";"01300";"01341";""
"SAINTE-CROIX";"01";"AIN";"01120";"01342";""
"SAINT-CYR-SUR-MENTHON";"01";"AIN";"01380";"01343";""
"SAINT-DENIS-LES-BOURG";"01";"AIN";"01000";"01344";""
"SAINT-DENIS-EN-BUGEY";"01";"AIN";"01500";"01345";""
"SAINT-DIDIER-D'AUSSIAT";"01";"AIN";"01340";"01346";""
"SAINT-DIDIER-DE-FORMANS";"01";"AIN";"01600";"01347";""
"SAINT-DIDIER-SUR-CHALARONNE";"01";"AIN";"01140";"01348";""
"SAINT-ELOI";"01";"AIN";"01800";"01349";""
"SAINT-ETIENNE-DU-BOIS";"01";"AIN";"01370";"01350";""
"SAINT-ETIENNE-SUR-CHALARONNE";"01";"AIN";"01140";"01351";""
